Epoch,train_loss,valid_loss,<fastai.learner.AvgMetric object at 0x0000023175679400>
1,6.219747066497803,6.215097427368164,0.025610150769352913
2,5.950170993804932,5.882254123687744,0.04956235736608505
3,5.625495910644531,5.637718200683594,0.06901310384273529
4,5.426000118255615,5.441302299499512,0.08662066608667374
5,5.265321731567383,5.277633190155029,0.10230167210102081
